"","caseid","year","degree","consci"
"25124",25124,1990,"High School","A Great Deal"
"25125",25125,1990,"High School","A Great Deal"
"25128",25128,1990,"Graduate","A Great Deal"
"25134",25134,1990,"Lt High School","Hardly Any"
"25135",25135,1990,"Lt High School","Only Some"
"25137",25137,1990,"High School","A Great Deal"
"25139",25139,1990,"High School","A Great Deal"
"25141",25141,1990,"High School","Only Some"
"25144",25144,1990,"High School","Only Some"
"25145",25145,1990,"High School","A Great Deal"
"25146",25146,1990,"Bachelor","A Great Deal"
"25147",25147,1990,"High School","Only Some"
"25153",25153,1990,"Lt High School","Only Some"
"25154",25154,1990,"Bachelor","Only Some"
"25157",25157,1990,"Bachelor","Only Some"
"25159",25159,1990,"Bachelor","A Great Deal"
"25162",25162,1990,"Bachelor","A Great Deal"
"25163",25163,1990,"High School","Hardly Any"
"25164",25164,1990,"High School","A Great Deal"
"25165",25165,1990,"Bachelor","Only Some"
"25167",25167,1990,"Lt High School","Only Some"
"25168",25168,1990,"High School","Only Some"
"25171",25171,1990,"High School","A Great Deal"
"25172",25172,1990,"High School","A Great Deal"
"25173",25173,1990,"Junior College","Only Some"
"25174",25174,1990,"Bachelor","Only Some"
"25175",25175,1990,"Bachelor","Only Some"
"25176",25176,1990,"Bachelor","Only Some"
"25177",25177,1990,"High School","A Great Deal"
"25178",25178,1990,"Bachelor","A Great Deal"
"25179",25179,1990,"High School","Only Some"
"25182",25182,1990,"High School","A Great Deal"
"25183",25183,1990,"Lt High School","Only Some"
"25185",25185,1990,"High School","A Great Deal"
"25188",25188,1990,"High School","Only Some"
"25189",25189,1990,"Graduate","A Great Deal"
"25192",25192,1990,"High School","A Great Deal"
"25195",25195,1990,"High School","A Great Deal"
"25196",25196,1990,"Graduate","Only Some"
"25197",25197,1990,"Graduate","A Great Deal"
"25199",25199,1990,"Bachelor","A Great Deal"
"25200",25200,1990,"Graduate","A Great Deal"
"25202",25202,1990,"Bachelor","Only Some"
"25203",25203,1990,"Lt High School","A Great Deal"
"25204",25204,1990,"Lt High School","Only Some"
"25205",25205,1990,"High School","A Great Deal"
"25206",25206,1990,"High School","Only Some"
"25208",25208,1990,"High School","Only Some"
"25209",25209,1990,"Lt High School","A Great Deal"
"25210",25210,1990,"Lt High School","Only Some"
"25211",25211,1990,"Lt High School","Only Some"
"25212",25212,1990,"High School","A Great Deal"
"25215",25215,1990,"High School","A Great Deal"
"25217",25217,1990,"Bachelor","Only Some"
"25219",25219,1990,"Bachelor","A Great Deal"
"25220",25220,1990,"High School","Only Some"
"25222",25222,1990,"Bachelor","A Great Deal"
"25225",25225,1990,"High School","Only Some"
"25226",25226,1990,"High School","Only Some"
"25227",25227,1990,"High School","Only Some"
"25231",25231,1990,"Lt High School","A Great Deal"
"25232",25232,1990,"Graduate","A Great Deal"
"25233",25233,1990,"High School","Only Some"
"25235",25235,1990,"High School","Only Some"
"25236",25236,1990,"High School","Only Some"
"25237",25237,1990,"Bachelor","A Great Deal"
"25238",25238,1990,"Junior College","Only Some"
"25239",25239,1990,"High School","A Great Deal"
"25240",25240,1990,"Junior College","A Great Deal"
"25241",25241,1990,"Lt High School","Hardly Any"
"25243",25243,1990,"Lt High School","Only Some"
"25244",25244,1990,"Bachelor","Hardly Any"
"25245",25245,1990,"High School","Only Some"
"25251",25251,1990,"Lt High School","Only Some"
"25256",25256,1990,"Graduate","Only Some"
"25257",25257,1990,"High School","Hardly Any"
"25259",25259,1990,"High School","Only Some"
"25260",25260,1990,"High School","Only Some"
"25261",25261,1990,"Junior College","A Great Deal"
"25262",25262,1990,"Junior College","A Great Deal"
"25264",25264,1990,"Junior College","Only Some"
"25265",25265,1990,"Lt High School","Only Some"
"25266",25266,1990,"High School","Only Some"
"25267",25267,1990,"High School","Only Some"
"25268",25268,1990,"Bachelor","A Great Deal"
"25269",25269,1990,"Bachelor","A Great Deal"
"25271",25271,1990,"High School","A Great Deal"
"25272",25272,1990,"High School","A Great Deal"
"25274",25274,1990,"Graduate","A Great Deal"
"25277",25277,1990,"High School","A Great Deal"
"25278",25278,1990,"High School","A Great Deal"
"25280",25280,1990,"High School","Only Some"
"25281",25281,1990,"High School","A Great Deal"
"25283",25283,1990,"Junior College","Hardly Any"
"25285",25285,1990,"High School","Only Some"
"25287",25287,1990,"Bachelor","Only Some"
"25288",25288,1990,"High School","Only Some"
"25290",25290,1990,"High School","Only Some"
"25291",25291,1990,"High School","Only Some"
"25295",25295,1990,"High School","A Great Deal"
"25296",25296,1990,"High School","Hardly Any"
"25297",25297,1990,"High School","A Great Deal"
"25300",25300,1990,"Graduate","A Great Deal"
"25303",25303,1990,"High School","A Great Deal"
"25304",25304,1990,"High School","Only Some"
"25305",25305,1990,"High School","A Great Deal"
"25307",25307,1990,"High School","Hardly Any"
"25308",25308,1990,"Lt High School","Only Some"
"25312",25312,1990,"Bachelor","A Great Deal"
"25313",25313,1990,"High School","A Great Deal"
"25314",25314,1990,"Bachelor","A Great Deal"
"25316",25316,1990,"High School","Only Some"
"25318",25318,1990,"Graduate","A Great Deal"
"25319",25319,1990,"Bachelor","Only Some"
"25322",25322,1990,"High School","Only Some"
"25323",25323,1990,"Bachelor","A Great Deal"
"25324",25324,1990,"High School","Only Some"
"25325",25325,1990,"Junior College","A Great Deal"
"25326",25326,1990,"High School","A Great Deal"
"25327",25327,1990,"High School","A Great Deal"
"25330",25330,1990,"High School","A Great Deal"
"25332",25332,1990,"Bachelor","A Great Deal"
"25333",25333,1990,"High School","Hardly Any"
"25336",25336,1990,"Lt High School","A Great Deal"
"25343",25343,1990,"Lt High School","Only Some"
"25344",25344,1990,"Bachelor","A Great Deal"
"25347",25347,1990,"Lt High School","Hardly Any"
"25348",25348,1990,"Lt High School","A Great Deal"
"25349",25349,1990,"Lt High School","Only Some"
"25351",25351,1990,"Bachelor","A Great Deal"
"25352",25352,1990,"Graduate","Only Some"
"25353",25353,1990,"Junior College","A Great Deal"
"25355",25355,1990,"High School","Only Some"
"25356",25356,1990,"Junior College","A Great Deal"
"25357",25357,1990,"High School","Only Some"
"25358",25358,1990,"Lt High School","A Great Deal"
"25360",25360,1990,"High School","Only Some"
"25361",25361,1990,"Bachelor","Only Some"
"25362",25362,1990,"Lt High School","Hardly Any"
"25363",25363,1990,"High School","Only Some"
"25364",25364,1990,"High School","Only Some"
"25365",25365,1990,"High School","Only Some"
"25369",25369,1990,"High School","A Great Deal"
"25370",25370,1990,"High School","A Great Deal"
"25371",25371,1990,"High School","Only Some"
"25372",25372,1990,"High School","Only Some"
"25374",25374,1990,"Bachelor","A Great Deal"
"25376",25376,1990,"High School","Only Some"
"25377",25377,1990,"High School","Only Some"
"25378",25378,1990,"High School","Hardly Any"
"25379",25379,1990,"High School","Hardly Any"
"25380",25380,1990,"Junior College","A Great Deal"
"25381",25381,1990,"High School","A Great Deal"
"25382",25382,1990,"High School","Only Some"
"25383",25383,1990,"Lt High School","Only Some"
"25384",25384,1990,"High School","A Great Deal"
"25385",25385,1990,"High School","Only Some"
"25387",25387,1990,"Bachelor","A Great Deal"
"25390",25390,1990,"High School","A Great Deal"
"25391",25391,1990,"High School","Only Some"
"25392",25392,1990,"Graduate","A Great Deal"
"25393",25393,1990,"High School","Only Some"
"25396",25396,1990,"High School","A Great Deal"
"25397",25397,1990,"Bachelor","A Great Deal"
"25401",25401,1990,"Bachelor","A Great Deal"
"25403",25403,1990,"High School","A Great Deal"
"25405",25405,1990,"Graduate","A Great Deal"
"25406",25406,1990,"Graduate","A Great Deal"
"25408",25408,1990,"High School","A Great Deal"
"25409",25409,1990,"Bachelor","Only Some"
"25410",25410,1990,"High School","Only Some"
"25411",25411,1990,"Lt High School","A Great Deal"
"25414",25414,1990,"High School","Only Some"
"25415",25415,1990,"High School","Only Some"
"25417",25417,1990,"High School","Only Some"
"25418",25418,1990,"High School","A Great Deal"
"25419",25419,1990,"High School","Only Some"
"25420",25420,1990,"High School","A Great Deal"
"25421",25421,1990,"High School","Only Some"
"25423",25423,1990,"High School","A Great Deal"
"25425",25425,1990,"Bachelor","A Great Deal"
"25426",25426,1990,"High School","A Great Deal"
"25427",25427,1990,"Graduate","A Great Deal"
"25430",25430,1990,"High School","Only Some"
"25432",25432,1990,"High School","Only Some"
"25433",25433,1990,"High School","Only Some"
"25435",25435,1990,"High School","A Great Deal"
"25436",25436,1990,"High School","Only Some"
"25437",25437,1990,"High School","Hardly Any"
"25440",25440,1990,"High School","A Great Deal"
"25442",25442,1990,"High School","Only Some"
"25443",25443,1990,"High School","A Great Deal"
"25446",25446,1990,"High School","A Great Deal"
"25448",25448,1990,"Bachelor","Only Some"
"25450",25450,1990,"High School","Only Some"
"25451",25451,1990,"High School","Only Some"
"25453",25453,1990,"High School","Only Some"
"25454",25454,1990,"High School","A Great Deal"
"25455",25455,1990,"High School","A Great Deal"
"25456",25456,1990,"High School","Only Some"
"25458",25458,1990,"Lt High School","Only Some"
"25459",25459,1990,"Junior College","Only Some"
"25461",25461,1990,"Lt High School","Only Some"
"25462",25462,1990,"Junior College","A Great Deal"
"25465",25465,1990,"Bachelor","A Great Deal"
"25466",25466,1990,"High School","Only Some"
"25467",25467,1990,"High School","Hardly Any"
"25468",25468,1990,"Bachelor","A Great Deal"
"25470",25470,1990,"Lt High School","A Great Deal"
"25471",25471,1990,"High School","Only Some"
"25472",25472,1990,"High School","A Great Deal"
"25473",25473,1990,"Bachelor","Only Some"
"25474",25474,1990,"High School","A Great Deal"
"25475",25475,1990,"High School","A Great Deal"
"25476",25476,1990,"High School","Only Some"
"25477",25477,1990,"Junior College","Only Some"
"25478",25478,1990,"High School","Only Some"
"25480",25480,1990,"High School","A Great Deal"
"25481",25481,1990,"High School","Hardly Any"
"25482",25482,1990,"Lt High School","A Great Deal"
"25483",25483,1990,"Lt High School","A Great Deal"
"25486",25486,1990,"High School","A Great Deal"
"25487",25487,1990,"Bachelor","A Great Deal"
"25491",25491,1990,"High School","A Great Deal"
"25492",25492,1990,"High School","Only Some"
"25493",25493,1990,"High School","A Great Deal"
"25495",25495,1990,"High School","Only Some"
"25498",25498,1990,"High School","Only Some"
"25500",25500,1990,"High School","A Great Deal"
"25502",25502,1990,"High School","Only Some"
"25503",25503,1990,"High School","A Great Deal"
"25505",25505,1990,"High School","A Great Deal"
"25507",25507,1990,"High School","Only Some"
"25508",25508,1990,"Bachelor","A Great Deal"
"25509",25509,1990,"Bachelor","Only Some"
"25510",25510,1990,"Bachelor","Only Some"
"25511",25511,1990,"Bachelor","A Great Deal"
"25512",25512,1990,"Bachelor","A Great Deal"
"25516",25516,1990,"High School","Only Some"
"25519",25519,1990,"High School","A Great Deal"
"25520",25520,1990,"High School","A Great Deal"
"25522",25522,1990,"High School","A Great Deal"
"25526",25526,1990,"Lt High School","Only Some"
"25528",25528,1990,"High School","Only Some"
"25529",25529,1990,"Lt High School","A Great Deal"
"25533",25533,1990,"Lt High School","Hardly Any"
"25536",25536,1990,"High School","Only Some"
"25537",25537,1990,"Junior College","Only Some"
"25538",25538,1990,"High School","A Great Deal"
"25541",25541,1990,"Lt High School","Only Some"
"25542",25542,1990,"High School","Only Some"
"25543",25543,1990,"High School","A Great Deal"
"25544",25544,1990,"High School","Only Some"
"25545",25545,1990,"High School","Only Some"
"25546",25546,1990,"Bachelor","A Great Deal"
"25547",25547,1990,"Junior College","A Great Deal"
"25548",25548,1990,"Bachelor","Only Some"
"25551",25551,1990,"High School","A Great Deal"
"25553",25553,1990,"Lt High School","Only Some"
"25554",25554,1990,"Lt High School","Only Some"
"25557",25557,1990,"Graduate","A Great Deal"
"25558",25558,1990,"High School","A Great Deal"
"25559",25559,1990,"Junior College","A Great Deal"
"25560",25560,1990,"High School","Only Some"
"25563",25563,1990,"Lt High School","A Great Deal"
"25568",25568,1990,"Bachelor","A Great Deal"
"25569",25569,1990,"Bachelor","A Great Deal"
"25571",25571,1990,"Junior College","A Great Deal"
"25572",25572,1990,"High School","A Great Deal"
"25573",25573,1990,"Bachelor","A Great Deal"
"25574",25574,1990,"High School","Only Some"
"25575",25575,1990,"High School","A Great Deal"
"25577",25577,1990,"Junior College","A Great Deal"
"25578",25578,1990,"High School","Only Some"
"25579",25579,1990,"Graduate","A Great Deal"
"25583",25583,1990,"High School","Only Some"
"25584",25584,1990,"High School","A Great Deal"
"25586",25586,1990,"Graduate","Only Some"
"25590",25590,1990,"Lt High School","A Great Deal"
"25591",25591,1990,"High School","Only Some"
"25593",25593,1990,"High School","Only Some"
"25595",25595,1990,"High School","Only Some"
"25597",25597,1990,"High School","Only Some"
"25598",25598,1990,"High School","Only Some"
"25601",25601,1990,"High School","Only Some"
"25603",25603,1990,"Lt High School","A Great Deal"
"25604",25604,1990,"High School","Only Some"
"25605",25605,1990,"High School","Only Some"
"25606",25606,1990,"High School","A Great Deal"
"25608",25608,1990,"High School","Only Some"
"25610",25610,1990,"High School","Only Some"
"25612",25612,1990,"Bachelor","Only Some"
"25613",25613,1990,"Bachelor","Only Some"
"25614",25614,1990,"High School","Only Some"
"25615",25615,1990,"Graduate","Only Some"
"25617",25617,1990,"Lt High School","Only Some"
"25619",25619,1990,"Bachelor","Only Some"
"25623",25623,1990,"Lt High School","Hardly Any"
"25627",25627,1990,"High School","Only Some"
"25631",25631,1990,"High School","Only Some"
"25639",25639,1990,"High School","Only Some"
"25641",25641,1990,"Lt High School","Only Some"
"25642",25642,1990,"Lt High School","Only Some"
"25643",25643,1990,"High School","A Great Deal"
"25645",25645,1990,"High School","Only Some"
"25646",25646,1990,"Lt High School","Only Some"
"25647",25647,1990,"High School","Hardly Any"
"25649",25649,1990,"Lt High School","Hardly Any"
"25651",25651,1990,"High School","A Great Deal"
"25652",25652,1990,"High School","A Great Deal"
"25653",25653,1990,"Bachelor","A Great Deal"
"25655",25655,1990,"High School","Only Some"
"25656",25656,1990,"High School","Hardly Any"
"25657",25657,1990,"Lt High School","Only Some"
"25658",25658,1990,"High School","A Great Deal"
"25662",25662,1990,"High School","Only Some"
"25663",25663,1990,"High School","Only Some"
"25665",25665,1990,"High School","Only Some"
"25666",25666,1990,"Lt High School","Only Some"
"25667",25667,1990,"High School","A Great Deal"
"25668",25668,1990,"High School","Only Some"
"25669",25669,1990,"Lt High School","Only Some"
"25671",25671,1990,"Lt High School","Only Some"
"25673",25673,1990,"Lt High School","Only Some"
"25674",25674,1990,"Bachelor","Only Some"
"25675",25675,1990,"High School","Only Some"
"25676",25676,1990,"High School","Only Some"
"25682",25682,1990,"Bachelor","A Great Deal"
"25683",25683,1990,"Bachelor","A Great Deal"
"25688",25688,1990,"Junior College","Only Some"
"25689",25689,1990,"Graduate","Only Some"
"25690",25690,1990,"Lt High School","A Great Deal"
"25691",25691,1990,"Junior College","A Great Deal"
"25692",25692,1990,"High School","A Great Deal"
"25696",25696,1990,"Junior College","Only Some"
"25697",25697,1990,"Bachelor","Only Some"
"25698",25698,1990,"Bachelor","A Great Deal"
"25699",25699,1990,"High School","A Great Deal"
"25700",25700,1990,"Bachelor","Only Some"
"25702",25702,1990,"High School","A Great Deal"
"25703",25703,1990,"High School","Hardly Any"
"25705",25705,1990,"High School","A Great Deal"
"25706",25706,1990,"Lt High School","Only Some"
"25707",25707,1990,"High School","Only Some"
"25711",25711,1990,"Lt High School","A Great Deal"
"25712",25712,1990,"Junior College","Only Some"
"25715",25715,1990,"High School","Only Some"
"25716",25716,1990,"High School","Only Some"
"25718",25718,1990,"Lt High School","Only Some"
"25719",25719,1990,"High School","A Great Deal"
"25720",25720,1990,"High School","A Great Deal"
"25722",25722,1990,"High School","Only Some"
"25723",25723,1990,"High School","A Great Deal"
"25724",25724,1990,"Bachelor","Only Some"
"25725",25725,1990,"Bachelor","Only Some"
"25726",25726,1990,"High School","A Great Deal"
"25727",25727,1990,"Bachelor","A Great Deal"
"25731",25731,1990,"High School","A Great Deal"
"25732",25732,1990,"Lt High School","Only Some"
"25734",25734,1990,"High School","Only Some"
"25736",25736,1990,"Lt High School","Only Some"
"25738",25738,1990,"High School","A Great Deal"
"25739",25739,1990,"Graduate","Only Some"
"25740",25740,1990,"High School","Only Some"
"25742",25742,1990,"High School","A Great Deal"
"25743",25743,1990,"Bachelor","A Great Deal"
"25744",25744,1990,"High School","A Great Deal"
"25745",25745,1990,"Bachelor","Only Some"
"25747",25747,1990,"Lt High School","Only Some"
"25748",25748,1990,"High School","Hardly Any"
"25749",25749,1990,"Junior College","A Great Deal"
"25752",25752,1990,"High School","Only Some"
"25753",25753,1990,"Junior College","A Great Deal"
"25754",25754,1990,"Lt High School","Hardly Any"
"25755",25755,1990,"High School","Only Some"
"25756",25756,1990,"High School","Only Some"
"25759",25759,1990,"High School","A Great Deal"
"25761",25761,1990,"High School","Only Some"
"25762",25762,1990,"Bachelor","A Great Deal"
"25763",25763,1990,"Junior College","A Great Deal"
"25765",25765,1990,"High School","Only Some"
"25767",25767,1990,"High School","A Great Deal"
"25768",25768,1990,"Bachelor","A Great Deal"
"25769",25769,1990,"High School","A Great Deal"
"25770",25770,1990,"High School","A Great Deal"
"25772",25772,1990,"High School","Only Some"
"25773",25773,1990,"High School","A Great Deal"
"25776",25776,1990,"High School","A Great Deal"
"25778",25778,1990,"High School","Only Some"
"25780",25780,1990,"High School","Only Some"
"25781",25781,1990,"High School","Only Some"
"25782",25782,1990,"High School","A Great Deal"
"25784",25784,1990,"High School","Only Some"
"25785",25785,1990,"Bachelor","A Great Deal"
"25786",25786,1990,"High School","Hardly Any"
"25787",25787,1990,"High School","Only Some"
"25789",25789,1990,"High School","Only Some"
"25790",25790,1990,"Junior College","Only Some"
"25791",25791,1990,"Graduate","A Great Deal"
"25792",25792,1990,"High School","A Great Deal"
"25793",25793,1990,"Bachelor","A Great Deal"
"25796",25796,1990,"High School","A Great Deal"
"25797",25797,1990,"High School","Only Some"
"25800",25800,1990,"High School","Only Some"
"25801",25801,1990,"High School","A Great Deal"
"25804",25804,1990,"High School","Only Some"
"25805",25805,1990,"Junior College","Only Some"
"25807",25807,1990,"High School","Only Some"
"25808",25808,1990,"High School","Only Some"
"25809",25809,1990,"High School","Only Some"
"25810",25810,1990,"Lt High School","A Great Deal"
"25812",25812,1990,"Graduate","A Great Deal"
"25813",25813,1990,"High School","A Great Deal"
"25815",25815,1990,"High School","Only Some"
"25816",25816,1990,"Junior College","Only Some"
"25819",25819,1990,"High School","A Great Deal"
"25821",25821,1990,"High School","Only Some"
"25823",25823,1990,"Bachelor","A Great Deal"
"25827",25827,1990,"Junior College","Only Some"
"25830",25830,1990,"High School","A Great Deal"
"25831",25831,1990,"High School","A Great Deal"
"25832",25832,1990,"Graduate","Only Some"
"25834",25834,1990,"High School","A Great Deal"
"25837",25837,1990,"High School","Only Some"
"25838",25838,1990,"High School","Only Some"
"25840",25840,1990,"Graduate","A Great Deal"
"25842",25842,1990,"High School","Only Some"
"25844",25844,1990,"High School","A Great Deal"
"25846",25846,1990,"High School","Only Some"
"25847",25847,1990,"Lt High School","A Great Deal"
"25848",25848,1990,"Lt High School","Only Some"
"25851",25851,1990,"Lt High School","A Great Deal"
"25852",25852,1990,"High School","A Great Deal"
"25853",25853,1990,"Lt High School","A Great Deal"
"25854",25854,1990,"Lt High School","Only Some"
"25855",25855,1990,"High School","Only Some"
"25858",25858,1990,"Lt High School","Only Some"
"25859",25859,1990,"Bachelor","Only Some"
"25861",25861,1990,"High School","A Great Deal"
"25862",25862,1990,"Bachelor","A Great Deal"
"25863",25863,1990,"High School","A Great Deal"
"25864",25864,1990,"High School","Only Some"
"25865",25865,1990,"High School","Hardly Any"
"25866",25866,1990,"High School","A Great Deal"
"25867",25867,1990,"High School","A Great Deal"
"25868",25868,1990,"Bachelor","A Great Deal"
"25872",25872,1990,"Bachelor","Only Some"
"25874",25874,1990,"High School","A Great Deal"
"25876",25876,1990,"Lt High School","Only Some"
"25879",25879,1990,"Lt High School","Only Some"
"25880",25880,1990,"High School","A Great Deal"
"25882",25882,1990,"High School","Only Some"
"25884",25884,1990,"High School","A Great Deal"
"25888",25888,1990,"High School","Only Some"
"25890",25890,1990,"High School","Hardly Any"
"25891",25891,1990,"Lt High School","Only Some"
"25893",25893,1990,"Graduate","Only Some"
"25895",25895,1990,"High School","Only Some"
"25896",25896,1990,"High School","A Great Deal"
"25898",25898,1990,"High School","A Great Deal"
"25899",25899,1990,"Bachelor","Only Some"
"25900",25900,1990,"High School","Only Some"
"25901",25901,1990,"Graduate","A Great Deal"
"25903",25903,1990,"Junior College","A Great Deal"
"25904",25904,1990,"Graduate","Only Some"
"25905",25905,1990,"Bachelor","A Great Deal"
"25906",25906,1990,"High School","A Great Deal"
"25907",25907,1990,"High School","Hardly Any"
"25908",25908,1990,"Lt High School","A Great Deal"
"25910",25910,1990,"High School","Only Some"
"25912",25912,1990,"Lt High School","A Great Deal"
"25914",25914,1990,"High School","Only Some"
"25915",25915,1990,"High School","A Great Deal"
"25917",25917,1990,"High School","Only Some"
"25919",25919,1990,"Lt High School","A Great Deal"
"25921",25921,1990,"Bachelor","Only Some"
"25922",25922,1990,"High School","Only Some"
"25925",25925,1990,"High School","Only Some"
"25927",25927,1990,"High School","Only Some"
"25928",25928,1990,"Bachelor","Only Some"
"25930",25930,1990,"Bachelor","Only Some"
"25931",25931,1990,"High School","A Great Deal"
"25934",25934,1990,"High School","Only Some"
"25935",25935,1990,"Lt High School","Only Some"
"25936",25936,1990,"High School","A Great Deal"
"25937",25937,1990,"Bachelor","A Great Deal"
"25942",25942,1990,"High School","Only Some"
"25944",25944,1990,"Lt High School","Only Some"
"25945",25945,1990,"High School","Only Some"
"25946",25946,1990,"Lt High School","A Great Deal"
"25947",25947,1990,"High School","Only Some"
"25948",25948,1990,"High School","Only Some"
"25949",25949,1990,"High School","Only Some"
"25951",25951,1990,"High School","A Great Deal"
"25952",25952,1990,"High School","A Great Deal"
"25953",25953,1990,"Bachelor","A Great Deal"
"25954",25954,1990,"High School","Only Some"
"25956",25956,1990,"High School","Only Some"
"25957",25957,1990,"Graduate","Only Some"
